City,Clouds,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
ilulissat,75,gl,07-07-2018,60,69.22,-51.1,42.8,11.41
fortuna,40,us,07-07-2018,77,40.6,-124.16,62.6,13.87
borovoy,76,ru,07-07-2018,84,63.23,52.89,68.74,3.4
vardo,92,no,07-07-2018,100,70.37,31.11,47.05,12.8
severo-kurilsk,0,ru,07-07-2018,83,50.68,156.12,53.26,5.64
upernavik,24,gl,07-07-2018,100,72.79,-56.15,34,14.25
sao filipe,0,cv,07-07-2018,100,14.9,-24.5,73.69,8.77
nanortalik,92,gl,07-07-2018,91,60.14,-45.24,38.41,28.9
saskylakh,76,ru,07-07-2018,89,71.97,114.09,41.92,8.21
hilo,90,us,07-07-2018,74,19.71,-155.08,80.6,10.29
traverse city,20,us,07-07-2018,36,44.76,-85.62,75.2,5.82
egvekinot,92,ru,07-07-2018,88,66.32,-179.17,46.24,11.9
aswan,0,eg,07-07-2018,18,24.09,32.9,87.8,3.36
chuy,92,uy,07-07-2018,98,-33.69,-53.46,55.06,22.53
port alfred,0,za,07-07-2018,100,-33.59,26.89,55.42,3.62
sorland,64,no,07-07-2018,96,67.67,12.69,50.92,17.83
bredasdorp,0,za,07-07-2018,81,-34.53,20.04,42.8,4.7
padang,12,id,07-07-2018,100,-0.92,100.36,80.35,5.97
shubarshi,44,kz,07-07-2018,48,48.59,57.19,83.32,7.43
tiarei,75,pf,07-07-2018,66,-17.53,-149.33,84.2,11.41
mar del plata,0,ar,07-07-2018,100,-46.43,-67.52,22.66,6.31
new norfolk,75,au,07-07-2018,70,-42.78,147.06,44.6,21.92
lipno,64,pl,07-07-2018,87,52.85,19.18,60.37,7.09
isangel,64,vu,07-07-2018,95,-19.55,169.27,75.94,13.69
geraldton,0,au,07-07-2018,76,-28.77,114.6,51.8,13.87
lorengau,68,pg,07-07-2018,100,-2.02,147.27,82.42,10.67
lodja,0,cd,07-07-2018,48,-3.52,23.6,71.71,4.41
dikson,68,ru,07-07-2018,85,73.51,80.55,43,19.51
robertsport,80,lr,07-07-2018,100,6.75,-11.37,76.84,4.07
beyneu,92,kz,07-07-2018,47,45.32,55.19,85.84,7.43
sambava,80,mg,07-07-2018,100,-14.27,50.17,74.5,24.54
mackay,0,au,07-07-2018,32,-21.15,149.2,68,16.11
tasiilaq,88,gl,07-07-2018,81,65.61,-37.64,42.8,5.82
zyryanka,0,ru,07-07-2018,47,65.73,150.89,78.55,5.64
meulaboh,92,id,07-07-2018,100,4.14,96.13,77.56,1.16
karratha,0,au,07-07-2018,18,-20.74,116.85,74.5,15.03
la rioja,0,ar,07-07-2018,91,-29.41,-66.86,39.67,3.74
camabatela,0,ao,07-07-2018,80,-8.19,15.37,54.97,4.63
kichera,92,ru,07-07-2018,97,55.93,110.1,48.58,2.73
tazmalt,12,dz,07-07-2018,68,36.39,4.4,68.65,1.72
kaeo,100,nz,07-07-2018,86,-35.1,173.78,61.18,24.87
nantucket,1,us,07-07-2018,77,41.28,-70.1,62.6,10.22
kadom,0,ru,07-07-2018,84,54.57,42.47,62.89,4.52
namibe,0,ao,07-07-2018,100,-15.19,12.15,69.19,7.43
norman wells,90,ca,07-07-2018,67,65.28,-126.83,60.8,3.36
fort walton beach,75,us,07-07-2018,94,30.41,-86.62,82.4,3.74
kushima,75,jp,07-07-2018,100,31.5,131.29,75.2,3.36
am timan,80,td,07-07-2018,91,11.04,20.28,73.96,8.32
ngawen,0,id,07-07-2018,50,-7.02,111.3,86.65,4.41
baghdad,0,iq,07-07-2018,25,33.3,44.38,87.8,3.36
natchez,1,us,07-07-2018,88,31.56,-91.4,75.2,5.82
sanjwal,0,pk,07-07-2018,62,33.76,72.43,84.2,4.7
puerto cabezas,36,ni,07-07-2018,99,14.04,-83.39,79.99,14.25
nelson bay,0,au,07-07-2018,47,-32.72,152.14,57.2,24.16
alcaniz,0,es,07-07-2018,88,41.05,-0.13,55.87,3.18
la ronge,75,ca,07-07-2018,67,55.1,-105.3,62.6,18.34
meihekou,80,cn,07-07-2018,86,42.54,125.69,72.52,10.11
dunedin,100,nz,07-07-2018,81,-45.87,170.5,46.33,3.74
saldanha,0,za,07-07-2018,57,-33.01,17.94,51.8,3.36
port augusta,90,au,07-07-2018,58,-32.49,137.76,59,12.75
kiama,0,au,07-07-2018,44,-34.67,150.86,57.2,18.34
vanimo,88,pg,07-07-2018,100,-2.67,141.3,81.43,8.43
agirish,64,ru,07-07-2018,84,61.92,63.02,71.08,2.28
deputatskiy,0,ru,07-07-2018,67,69.3,139.9,77.65,6.76
ulaanbaatar,40,mn,07-07-2018,66,47.92,106.92,51.8,6.71
bandarbeyla,36,so,07-07-2018,77,9.49,50.81,79.72,25.43
pochutla,90,mx,07-07-2018,62,15.74,-96.47,87.8,1.61
rio grande,24,br,07-07-2018,92,-32.03,-52.1,56.77,17.49
cidreira,12,br,07-07-2018,91,-30.17,-50.22,62.71,17.83
wichian buri,92,th,07-07-2018,99,15.66,101.11,75.22,6.98
umm lajj,0,sa,07-07-2018,82,25.02,37.27,76.75,3.74
galle,92,lk,07-07-2018,100,6.04,80.22,74.86,12.8
mumford,8,gh,07-07-2018,96,5.26,-0.76,70.9,4.29
bambous virieux,75,mu,07-07-2018,83,-20.34,57.76,69.8,8.05
batemans bay,0,au,07-07-2018,63,-35.71,150.18,61.09,13.24
kaitangata,92,nz,07-07-2018,96,-46.28,169.85,45.25,6.76
neuquen,75,ar,07-07-2018,87,-38.95,-68.06,44.6,3.36
mahebourg,75,mu,07-07-2018,83,-20.41,57.7,69.8,8.05
skjervoy,88,no,07-07-2018,99,70.03,20.97,48.31,2.73
namatanai,64,pg,07-07-2018,99,-3.66,152.44,83.95,6.76
thompson,40,ca,07-07-2018,42,55.74,-97.86,80.6,11.41
ahipara,76,nz,07-07-2018,87,-35.17,173.16,61.72,29.12
ortona,0,it,07-07-2018,82,42.35,14.4,66.2,6.93
pallasovka,12,ru,07-07-2018,54,50.04,46.89,74.5,4.29
beterou,76,bj,07-07-2018,95,9.2,2.26,73.15,2.95
byumba,20,rw,07-07-2018,72,-1.58,30.06,59,5.82
atbasar,0,kz,07-07-2018,79,51.81,68.36,73.96,6.76
coquimbo,0,cl,07-07-2018,87,-29.95,-71.34,53.6,5.82
ozoir-la-ferriere,0,fr,07-07-2018,88,48.77,2.67,69.8,3.29
shitanjing,0,cn,07-07-2018,33,39.23,106.34,80.44,2.62
cap malheureux,75,mu,07-07-2018,83,-19.98,57.61,69.8,8.05
port hardy,75,ca,07-07-2018,87,50.7,-127.42,60.8,5.82
west wendover,1,us,07-07-2018,8,40.74,-114.07,96.8,5.82
villarrica,0,cl,07-07-2018,90,-39.28,-72.23,31.48,2.17
ternate,80,id,07-07-2018,100,0.8,127.4,80.26,7.09
maceio,40,br,07-07-2018,94,-9.67,-35.74,69.8,3.62
san joaquin,0,bo,07-07-2018,79,-16.38,-58.39,64.96,2.73
quatre cocos,75,mu,07-07-2018,83,-20.21,57.76,69.8,8.05
nome,40,us,07-07-2018,94,30.04,-94.42,77,7.09
oudtshoorn,0,za,07-07-2018,40,-33.59,22.2,53.6,3.36
barstow,1,us,07-07-2018,65,31.46,-103.39,80.6,10.45
batagay-alyta,0,ru,07-07-2018,56,67.8,130.41,79.27,7.65
la romana,40,do,07-07-2018,88,18.43,-68.97,82.4,6.98
abu kamal,0,sy,07-07-2018,39,34.45,40.92,73.78,7.87
zheleznodorozhnyy,0,ru,07-07-2018,87,55.75,38,59,2.24
harper,76,lr,07-07-2018,100,4.38,-7.71,77.92,8.32
lavrentiya,8,ru,07-07-2018,90,65.58,-170.99,49.3,1.05
lusambo,0,cd,07-07-2018,68,-4.97,23.44,69.91,2.62
arrecife,0,es,07-07-2018,83,28.96,-13.55,69.8,17.22
san antonio,0,cl,07-07-2018,93,-33.58,-71.61,50,3.36
barra do garcas,0,br,07-07-2018,75,-15.89,-52.26,64.6,2.62
zeya,64,ru,07-07-2018,64,53.74,127.27,70.63,4.41
victoria,75,sc,07-07-2018,88,-4.62,55.45,77,9.17
chimore,88,bo,07-07-2018,97,-16.98,-65.13,72.34,3.18
pitkyaranta,12,ru,07-07-2018,77,61.57,31.48,61.63,7.65
bijie,92,cn,07-07-2018,97,27.3,105.3,71.35,3.62
hami,0,cn,07-07-2018,36,42.84,93.51,86.83,6.76
carnarvon,0,au,07-07-2018,82,-24.87,113.63,65.86,6.76
taree,0,au,07-07-2018,53,-31.91,152.46,62.6,11.41
talnakh,92,ru,07-07-2018,73,69.49,88.39,52.45,11.68
warwick,0,au,07-07-2018,79,-28.22,152.03,49.84,17.6
benghazi,0,ly,07-07-2018,98,32.12,20.07,76.84,16.93
nerchinskiy zavod,92,ru,07-07-2018,97,51.31,119.61,62.62,8.43
tahta,0,eg,07-07-2018,44,26.77,31.5,80.6,2.24
kavaratti,88,in,07-07-2018,100,10.57,72.64,80.62,21.3
matara,92,lk,07-07-2018,100,5.95,80.54,74.86,12.8
ustyuzhna,68,ru,07-07-2018,94,58.84,36.43,60.1,4.74
soe,0,id,07-07-2018,47,-9.86,124.28,81.79,4.52
rehoboth,64,na,07-07-2018,88,-23.31,17.08,44.08,8.43
abha,5,sa,07-07-2018,64,18.22,42.5,68,0.27
haines junction,0,ca,07-07-2018,39,60.75,-137.51,65.23,3.4
peniche,20,pt,07-07-2018,88,39.36,-9.38,64.4,9.17
pacific grove,1,us,07-07-2018,40,36.62,-121.92,73.4,9.17
ancud,0,cl,07-07-2018,83,-41.87,-73.83,35.35,2.39
bethel,90,us,07-07-2018,93,60.79,-161.76,55.4,18.34
boden,0,se,07-07-2018,71,65.83,21.69,55.4,11.41
aykhal,68,ru,07-07-2018,84,65.95,111.51,45.88,7.76
esperance,20,au,07-07-2018,63,-33.86,121.89,58.03,10.22
tuttlingen,75,de,07-07-2018,100,47.98,8.82,60.8,2.73
luderitz,12,na,07-07-2018,56,-26.65,15.16,66.85,19.51
saint-philippe,90,re,07-07-2018,82,-21.36,55.77,69.8,9.17
pleasanton,1,us,07-07-2018,15,37.66,-121.87,96.8,12.75
husavik,90,is,07-07-2018,87,66.04,-17.34,48.2,2.24
sobolevo,12,ru,07-07-2018,96,54.43,31.9,59.29,11.12
kahului,75,us,07-07-2018,69,20.89,-156.47,82.4,19.46
ribeira grande,75,pt,07-07-2018,94,38.52,-28.7,68,10.29
mayo,90,ca,07-07-2018,41,63.59,-135.9,75.2,5.82
ambikapur,56,in,07-07-2018,88,23.12,83.2,80.17,4.07
ribas do rio pardo,8,br,07-07-2018,61,-20.45,-53.76,62.8,3.18
katsuura,75,jp,07-07-2018,94,33.93,134.5,77,3.36
coihaique,0,cl,07-07-2018,86,-45.58,-72.07,28.4,4.7
hovd,8,mn,07-07-2018,40,48.01,91.64,65.95,4.29
cheyenne,1,us,07-07-2018,26,41.14,-104.82,84.2,8.05
gazojak,0,tm,07-07-2018,23,41.19,61.4,89.26,5.19
ixtapa,75,mx,07-07-2018,89,20.71,-105.21,86,11.41
yankton,1,us,07-07-2018,70,42.87,-97.4,84.2,13.87
puerto carreno,68,co,07-07-2018,89,6.19,-67.49,70.18,2.84
lincoln,92,ar,07-07-2018,95,-34.87,-61.53,47.86,8.21
dzhebariki-khaya,0,ru,07-07-2018,25,62.22,135.8,86.56,4.74
hithadhoo,56,mv,07-07-2018,100,-0.6,73.08,77.83,9.22
assiniboia,0,ca,07-07-2018,24,49.63,-105.99,79.9,11.12
coro,12,ve,07-07-2018,85,11.41,-69.67,78.82,10.67
manado,20,id,07-07-2018,49,1.49,124.85,93.2,2.24
dovbysh,32,ua,07-07-2018,84,50.37,27.99,61.36,4.18
awjilah,0,ly,07-07-2018,60,29.14,21.3,76.12,11.68
reitz,0,za,07-07-2018,80,-27.8,28.43,30.22,7.76
cerro punta,0,pa,07-07-2018,94,8.85,-82.57,78.8,1.12
russell,100,nz,07-07-2018,86,-35.26,174.12,61.18,24.87
kenai,75,us,07-07-2018,77,60.55,-151.26,66.2,14.99
nigde,0,tr,07-07-2018,74,37.97,34.68,44.98,2.62
puerto colombia,20,co,07-07-2018,83,10.99,-74.96,80.6,8.05
half moon bay,40,us,07-07-2018,41,37.46,-122.43,91.4,21.92
matay,0,eg,07-07-2018,51,28.42,30.79,72.25,7.76
semporna,75,my,07-07-2018,79,4.48,118.61,84.2,3.36
dingle,0,ie,07-07-2018,99,52.14,-10.27,58.84,7.2
mirnyy,92,ru,07-07-2018,97,56.57,36.46,58.93,4.41
uberaba,0,br,07-07-2018,46,-19.75,-47.94,69.8,5.82
hasaki,75,jp,07-07-2018,74,35.73,140.83,86,11.41
masaurhi,40,in,07-07-2018,84,25.35,85.03,86,6.93
cockburn town,80,bs,07-07-2018,93,24.03,-74.52,83.23,13.47
nikolskoye,40,ru,07-07-2018,93,59.7,30.79,59,6.71
miranda de ebro,75,es,07-07-2018,93,42.69,-2.95,68,4.7
sorong,44,id,07-07-2018,100,-0.86,131.25,80.8,10.78
alofi,8,nu,07-07-2018,100,-19.06,-169.92,73.69,22.86
planaltina,0,br,07-07-2018,72,-15.62,-47.66,60.8,3.36
miri,75,my,07-07-2018,83,4.41,114.01,82.4,4.7
ust-kuyga,32,ru,07-07-2018,83,70,135.55,73.78,8.66
hirara,75,jp,07-07-2018,79,24.8,125.28,84.2,10.29
dibulla,8,co,07-07-2018,82,11.27,-73.31,82.78,18.28
los llanos de aridane,0,es,07-07-2018,68,28.66,-17.92,69.8,12.75
sabha,0,ly,07-07-2018,26,27.03,14.43,78.55,10
waitati,100,nz,07-07-2018,81,-45.75,170.57,46.33,3.74
boa viagem,92,br,07-07-2018,99,-5.13,-39.73,67.75,3.29
quime,0,bo,07-07-2018,93,-16.98,-67.22,39.49,1.39
aquiraz,75,br,07-07-2018,100,-3.9,-38.39,75.2,8.21
buique,32,br,07-07-2018,92,-8.62,-37.16,64.6,6.53
san jose,48,gt,07-07-2018,100,16.98,-89.9,70.18,2.62
fort nelson,75,ca,07-07-2018,34,58.81,-122.69,68,8.05
constitucion,90,mx,07-07-2018,52,23.99,-104.67,68,9.17
bonnyville,75,ca,07-07-2018,87,54.27,-110.74,59,6.93
suclayin,92,ph,07-07-2018,100,15.76,121.55,75.13,4.74
portland,0,au,07-07-2018,66,-33.35,149.98,47.95,10.78
sao goncalo dos campos,92,br,07-07-2018,94,-12.43,-38.97,71.35,3.62
aitape,24,pg,07-07-2018,96,-3.15,142.36,81.79,4.97
korsakovo,92,ru,07-07-2018,83,53.27,37.36,61.72,7.76
kloulklubed,90,pw,07-07-2018,88,7.04,134.26,78.8,11.41
victor harbor,75,au,07-07-2018,71,-35.55,138.62,57.2,16.11
griffith,92,au,07-07-2018,83,-34.29,146.06,54.07,16.82
shadegan,0,ir,07-07-2018,84,30.65,48.67,89.6,2.51
gamba,92,ga,07-07-2018,99,-2.72,10.02,73.15,4.18
sitka,8,us,07-07-2018,52,37.17,-99.65,80.35,8.1
taiyuan,90,cn,07-07-2018,88,37.86,112.56,69.8,4.47
chicama,90,pe,07-07-2018,88,-7.84,-79.15,64.4,4.7
bilibino,36,ru,07-07-2018,57,68.06,166.44,55.6,6.87
yuancheng,88,cn,07-07-2018,95,36.65,107.79,65.05,6.87
tabas,0,ir,07-07-2018,16,33.6,56.92,77.56,2.62
lazaro cardenas,40,mx,07-07-2018,31,28.39,-105.62,87.8,19.46
salinas,20,ec,07-07-2018,100,0.49,-78.13,45.16,1.72
ust-nera,36,ru,07-07-2018,30,64.57,143.24,80.53,2.62
udachnyy,64,ru,07-07-2018,78,66.42,112.4,47.86,4.85
saint-leu,90,re,07-07-2018,82,-21.15,55.28,69.8,9.17
matagami,20,ca,07-07-2018,44,49.76,-77.63,75.2,9.17
filadelfia,20,py,07-07-2018,77,-22.35,-60.04,63.07,12.24
te anau,80,nz,07-07-2018,93,-45.41,167.72,44.62,4.63
mosquera,40,co,07-07-2018,76,4.71,-74.23,53.6,2.24
beidao,100,cn,07-07-2018,100,34.57,105.89,60.46,3.4
saint-joseph,90,re,07-07-2018,82,-21.37,55.62,69.8,9.17
coari,36,br,07-07-2018,77,-4.09,-63.14,78.46,5.53
mana,8,gf,07-07-2018,91,5.67,-53.78,76.39,3.96
saint george,40,bm,07-07-2018,83,32.38,-64.68,78.8,9.17
hazorasp,0,uz,07-07-2018,56,41.32,61.08,73.4,4.7
staryy nadym,92,ru,07-07-2018,80,65.61,72.68,64.42,8.66
poltavka,0,ru,07-07-2018,55,54.36,71.76,77.38,6.76
borogontsy,0,ru,07-07-2018,24,62.67,131.17,91.6,4.07
meitingen,20,de,07-07-2018,100,48.55,10.85,59,3.06
santiago del estero,36,ar,07-07-2018,83,-27.8,-64.26,43.99,9.22
blagoyevo,36,ru,07-07-2018,83,63.37,47.92,64.96,2.62
ilebo,0,cd,07-07-2018,80,-4.33,20.59,69.73,2.17
kitui,0,ke,07-07-2018,87,-1.37,38.02,57.85,9.55
we,44,nc,07-07-2018,74,-20.92,167.26,75.67,6.76
berlevag,100,no,07-07-2018,91,70.86,29.09,47.41,3.51
mount gambier,92,au,07-07-2018,82,-37.83,140.78,54.88,9.66
sarata,24,ua,07-07-2018,86,46.02,29.66,65.95,6.42
hamina,90,fi,07-07-2018,93,60.57,27.2,59,6.93
marsh harbour,0,bs,07-07-2018,100,26.54,-77.06,82.24,6.98
port lincoln,68,au,07-07-2018,90,-34.72,135.86,58.93,11.23
roma,0,au,07-07-2018,70,-26.57,148.79,52.36,13.8
christchurch,80,nz,07-07-2018,59,-43.53,172.64,60.8,18.34
fairbanks,1,us,07-07-2018,34,64.84,-147.72,78.8,6.93
itaituba,8,br,07-07-2018,82,-4.26,-55.99,77.56,2.51
la asuncion,68,ve,07-07-2018,100,11.03,-63.86,79.09,14.36
adrar,32,dz,07-07-2018,13,27.87,-0.29,96.8,9.17
wuwei,100,cn,07-07-2018,100,37.93,102.64,59.47,3.29
xai-xai,88,mz,07-07-2018,100,-25.04,33.64,67.39,13.69
swan hill,64,au,07-07-2018,76,-35.34,143.56,57.22,18.72
vagamo,0,no,07-07-2018,84,61.88,9.1,41.02,1.39
loreto,76,mx,07-07-2018,84,22.27,-101.99,60.1,3.62
santa maria,48,cv,07-07-2018,100,16.6,-22.9,71.98,7.76
mananjary,0,mg,07-07-2018,87,-19.16,46.8,43.36,7.09
pemba,20,mz,07-07-2018,88,-12.97,40.52,69.8,10.29
petropavlovsk-kamchatskiy,0,ru,07-07-2018,49,53.05,158.65,68,8.95
kasane,100,bw,07-07-2018,94,-17.8,25.16,54.88,9.44
touros,64,br,07-07-2018,97,-5.2,-35.46,74.23,11.45
dillon,1,us,07-07-2018,28,45.22,-112.64,82.4,8.05
bundaberg,0,au,07-07-2018,100,-24.87,152.35,61.36,19.51
alice springs,0,au,07-07-2018,36,-23.7,133.88,55.4,19.46
kyra,48,ru,07-07-2018,64,49.58,111.97,55.15,8.99
ibra,0,om,07-07-2018,53,22.69,58.55,81.34,2.73
east hartford,1,us,07-07-2018,72,41.78,-72.61,69.8,1.95
floro,12,no,07-07-2018,93,61.6,5.03,51.8,3.36
bouca,92,cf,07-07-2018,94,6.51,18.28,70.9,2.95
nara,8,ml,07-07-2018,74,15.17,-7.29,78.19,7.76
ciudad real,0,es,07-07-2018,69,38.99,-3.93,62.53,2.62
komsomolskiy,24,ru,07-07-2018,65,67.55,63.78,58.03,17.27
sacramento,0,br,07-07-2018,46,-19.87,-47.44,69.8,5.82
zemio,12,cf,07-07-2018,95,5.02,25.13,66.85,2.62
neiafu,40,to,07-07-2018,65,-18.65,-173.98,77,19.46
koshurnikovo,0,ru,07-07-2018,65,54.3,93.39,55.06,4.97
saint-pierre,0,pm,07-07-2018,76,46.77,-56.17,51.8,19.46
acapulco,90,mx,07-07-2018,79,16.86,-99.88,84.2,8.05
pakxan,92,la,07-07-2018,95,18.39,103.66,73.96,2.62
gonbad-e qabus,88,ir,07-07-2018,93,37.25,55.17,76.48,4.18
mitsamiouli,12,km,07-07-2018,94,-11.38,43.28,77.92,11.12
songjianghe,44,cn,07-07-2018,74,42.18,127.48,73.06,4.29
tuatapere,76,nz,07-07-2018,98,-46.13,167.69,50.29,10.45
kununurra,0,au,07-07-2018,20,-15.77,128.74,73.4,16.11
ovre ardal,0,no,07-07-2018,91,61.32,7.8,40.75,1.39
narsaq,75,gl,07-07-2018,40,60.91,-46.05,53.6,27.51
buala,80,sb,07-07-2018,100,-8.15,159.59,78.55,10.89
santo tomas,75,pe,07-07-2018,88,-3.8,-73.34,77,4.7
moree,0,au,07-07-2018,78,-29.46,149.84,53.35,12.8
sibolga,32,id,07-07-2018,93,1.74,98.78,75.76,1.95
pijino,48,co,07-07-2018,71,9.33,-74.45,81.97,1.05
taldan,0,ru,07-07-2018,46,53.69,124.82,75.4,12.68
saint-ambroise,75,ca,07-07-2018,88,48.56,-71.32,66.2,4.7
korla,8,cn,07-07-2018,33,41.76,86.15,84.58,4.18
opuwo,8,na,07-07-2018,76,-18.06,13.84,40.48,5.41
camopi,0,gf,07-07-2018,77,3.17,-52.33,76.48,3.62
amapa,8,br,07-07-2018,65,-1.83,-56.23,80.62,3.74
ngaoundere,8,cm,07-07-2018,94,7.32,13.58,58.03,1.83
zhuhai,0,cn,07-07-2018,69,40.71,112.04,73.4,2.24
vredendal,0,za,07-07-2018,60,-31.68,18.49,48.4,5.75
veseloyarsk,32,ru,07-07-2018,45,51.29,81.11,71.8,11.79
kempsey,0,au,07-07-2018,70,-31.08,152.84,62.89,10
kimbe,36,pg,07-07-2018,90,-5.56,150.15,84.94,7.76
george town,20,ky,07-07-2018,83,19.29,-81.37,84.2,6.93
araouane,12,ml,07-07-2018,34,18.9,-3.53,84.22,10.11
maues,36,br,07-07-2018,78,-3.38,-57.72,79.63,2.62
san rafael,56,ar,07-07-2018,88,-34.61,-68.33,29.23,1.5
